7841,307,A Primary Reader: Old-time Stories, Fairy Tales and Myths Retold by Children
17144,188,The House of the Vampire
50906,682,Savrola: A Tale of the Revolution in Laurania
1777,186,Romeo and Juliet
17289,222,The Dance (by An Antiquary): Historic Illustrations of Dancing from 3300 B.C. to 1911 A.D.
2232,534,The Duchess of Malfi
1289,319,Three Ghost Stories
2808,172,Treatises on Friendship and Old Age
51103,495,A Chautauqua Idyl
38594,330,Poems
51169,409,Section Cutting and Staining: A practical introduction to histological methods for students and practitioners
211,210,The Aspern Papers
51122,1129,The Men in the Walls
33748,155,The Kitchen Encyclopedia: Twelfth Edition (Swift & Company)
31591,224,Language of Flowers
1118,183,Much Ado about Nothing
1591,231,Protagoras
790,485,Lady Windermere's Fan
33447,403,The Pencil of Nature
171,337,Charlotte Temple
30221,188,Birds, Illustrated by Color Photography, Vol. 1, No. 1: January, 1897
12186,242,The Principles of Masonic Law: A Treatise on the Constitutional Laws, Usages and Landmarks of: Freemasonry
1093,754,The Beast in the Jungle
1041,831,Shakespeare's Sonnets
32154,618,The Variable Man
32803,790,Letters from a Father to His Son Entering College
986,268,Master and Man
16119,152,Doctrina Christiana: The first book printed in the Philippines, Manila, 1593.
60,710,The Scarlet Pimpernel
25609,330,A Child's Garden of Verses
22816,177,The Adventures of Buster Bear
946,894,Lady Susan
8800,4028,The Divine Comedy by Dante, Illustrated
17198,267,The Botanical Magazine, Vol. 01: Or, Flower-Garden Displayed
40373,177,A Guide to Health
1254,1018,Cyrano de Bergerac
50969,695,Big Ancestor
50961,909,The Slipper Point Mystery
51106,426,The Mentor: The Story of Coal, vol. 6, Num. 6, Serial No. 154, May 1, 1918
38193,163,New Royal Cook Book
46091,296,The Octoroon: or, Life in Louisiana; A Play in Five acts
3250,541,How to Tell a Story, and Other Essays
4391,157,Selections from the Principles of Philosophy
50939,226,The High Hander
8209,212,Poems 1817
41,2428,The Legend of Sleepy Hollow
6852,1471,Venus in Furs
29433,800,Nature
2267,760,Othello
9070,460,The Imaginary Invalid
31189,335,The Monster and Other Stories
51043,199,The Good Gray Poet, A Vindication
32030,150,Selections from Ancient Irish Poetry
10741,178,The Essays of Arthur Schopenhauer: the Wisdom of Life
1107,383,The Taming of the Shrew
4093,1974,Hedda Gabler
30017,197,My Father's Dragon
24761,408,The Rivals: A Comedy
95,339,The Prisoner of Zenda
159,1083,The Island of Doctor Moreau
1526,292,Twelfth Night; Or, What You Will
1424,203,Castle Rackrent
6519,154,Songs of Kabir
17350,176,The Practice and Theory of Bolshevism
51184,855,Inside Earth
8121,944,Ghosts
30120,321,The Happy Prince and Other Tales
50986,591,Glaciers of the Rockies and Selkirks, 2nd. ed.: With Notes on Five Great Glaciers of the Canadian National Parks
9909,180,Nightmare Abbey
25172,182,Moral Principles in Education
2562,204,The Clouds
7370,3222,Second Treatise of Government
902,1141,The Happy Prince, and Other Tales
2039,189,Evangeline: A Tale of Acadie
102,1140,The Tragedy of Pudd'nhead Wilson
11438,457,The Willows
14591,2289,Faust
23997,247,Eugene Oneguine [Onegin]: A Romance of Russian Life in Verse
14417,224,The Agamemnon of Aeschylus: Translated into English Rhyming Verse with Explanatory Notes
25990,163,Bird Houses Boys Can Build
2165,242,The Lifted Veil
51167,826,Butterfly 9
50566,176,Falcons of Narabedla
11238,229,The Fight for Conservation
32472,181,Food in War Time
9622,1515,Lyrical Ballads, With a Few Other Poems (1798)
51042,713,The Nakimu Caves: Glacier Dominion Park, B. C.
50936,437,Man in a Sewing Machine
148,782,The Autobiography of Benjamin Franklin
7838,181,Fifty-One Tales
8147,552,The Man Who Would Be King
28520,2716,Forbidden Fruit: Luscious and exciting story and More forbidden fruit or: Master Percy's progress in and beyond the domestic circle
31,1589,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone
3190,183,1601: Conversation as it was by the Social Fireside in the Time of the Tudors
25776,163,This Crowded Earth
