number	title	author	language
10001	Apocolocyntosis	Lucius Seneca	English
10002	The House on the Borderland	William Hope Hodgson	English
10003	My First Years As A Frenchwoman, 1876-1879	Mary King Waddington	English
10004	The Warriors	Lindsay, Anna Robertson Brown	English
10005	A Voyage to the Moon	George Tucker	English
10006	La Fiammetta	Giovanni Boccaccio	English
10007	Carmilla	J. Sheridan LeFanu	English
10008	The Mystery	Stewart Edward White and Samuel Hopkins Adams	English
10009	Wild Northern Scenes	S. H. Hammond	English
10010	The Eulogies of Howard	William Hayley	English
10011	365 Foreign Dishes	Unknown	English
10012	The Mountains of California	John Muir	English
10013	Punchinello, Vol. 1, No. 9, May 28, 1870	Various	English
10014	Punchinello, Vol. 1, No. 18, July 30, 1870	Various	English
10015	Punchinello, Vol. 1, No. 19, August 6, 1870	Various	English
10016	Punchinello Vol. 1, No. 21, August 20, 1870	Various	English
10017	Punchinello, Vol. 1, No. 23,  September 3, 1870	Various	English
10018	Punchinello, Vol. 1, No. 5,  April 30, 1870	Various	English
10019	Punchinello, Vol. 1, No. 22, August 27, 1870	Various	English
1001	Divine Comedy, Longfellow's Translation, Hell	Dante Alighieri	English
1005	Hell	Dante Alighieri	English
1006	The Divine Comedy of Dante:  Purgatory	Dante Alighieri	English
1007	The Divine Comedy of Dante:  Paradise	Dante Alighieri	English
10020	The Strand Magazine: Volume VII, Issue 37. January, 1894.	Edited by George Newnes	English
10021	Tenterhooks	Ada Leverson	English
10022	White Queen of the Cannibals: The Story of Mary Slessor	A. J. Bueltmann	English
10023	There's Pippins And Cheese To Come	Charles S. Brooks	English
10024	Beneath the Banner	F. J. Cross	English
10025	Gaslight Sonatas	Fannie  Hurst	English
10026	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
10027	The Triple Alliance	Harold Avery	English
10029	The Hunt Ball Mystery	Magnay, William	English
10030	The Life of Hon. William F. Cody	William F. Cody	English
10031	Edgar Allan Poe's Complete Poetical Works	Edgar Allan Poe	English
10032	Punchinello, Vol. 1, No. 24, September 10, 1870	Various	English
10033	Punchinello, Vol. 1, No. 25, September 17, 1870	Various	English
10034	Punchinello, Vol. 1, No. 26, September 24, 1870	Various	English
10035	Punchinello, Vol. 2, No. 27, October 1, 1870	Various	English
10036	Punchinello Vol. 2, No. 28, October 8, 1870	Various	English
10037	A Beautiful Possibility	Edith Ferguson Black	English
10038	The Magnetic North	Elizabeth Robins (C. E. Raimond)	English
10039	The Works of Aphra Behn, Vol. III	Aphra Behn	English
10040	Alaska Indian Dictionary	Charles A. Lee	English and Aleutian
10041	The Rivet in Grandfather's Neck	James Branch Cabell	English
10042	The Child Under Eight	E.R. Murray and Henrietta Brown Smith	English
10043	Klondyke Nuggets	Joseph Ladue	English
10044	The Father of British Canada: A Chronicle of Carleton	William Wood	English
10045	Dave Darrin's Second Year at Annapolis	H. Irving Hancock	English
10046	Salute to Adventurers	John Buchan	English
10047	Punchinello, Vol. 2, No. 29, October 15, 1870	Various	English
10048	Billie Bradley and Her Inheritance	Janet D. Wheeler	English
10049	Old Lady Mary	Margaret O. (Wilson) Oliphant	English
10050	A Little Pilgrim	Margaret O. (Wilson) Oliphant	English
10051	The Little Pilgrim: Further Experiences.	Margaret O. (Wilson) Oliphant	English
10052	The Open Door, and the Portrait.	Margaret O. (Wilson) Oliphant	English
10053	La vampire	Paul H.C. Feval	French
10054	Nova analysis aquarum Medeviensium	Joens Jacob Berzelius	Latin
10055	Hamburgische Dramaturgie	Gotthold Ephraim Lessing	German
10056	Chinese Literature	Anonymous	English
10057	The Secret of the Tower	Hope, Anthony	English
10058	The Divine Office	Rev. E. J. Quigley	English
10059	Aunt Jane's Nieces on Vacation	Edith Van Dyne	English
10060	Discourses	Thomas H. Huxley	English
10061	Les Heures Claires	Emile Verhaeren	French
10062	The Iron Game	Henry Francis Keenan	English
10063	Happiness and Marriage	Elizabeth (Jones) Towne	English
10064	Beltane The Smith	Jeffery Farnol	English
10065	The Constitution of the United States	James M. Beck	English
10066	Gunman's Reckoning	Max Brand	English
10067	The Mystery Of The Boule Cabinet	Burton Egbert Stevenson	English
10068	The Power and the Glory	Grace MacGowan Cooke	English
10069	Account of the Romansh Language	Joseph Planta, Esq. F. R. S.	English
10070	Stories of Great Americans for Little Americans	Edward Eggleston	English
10071	By-Ways of Bombay	S. M. Edwardes, C.V.O.	English
10072	English Housewifery Exemplified	Elizabeth Moxon	English
10073	The Century Vocabulary Builder	Creever & Bachelor	English
10074	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
10075	A Narrative of the Life and Adventures of Venture, a Native of	Venture Smith	English
10076	Lister's Great Adventure	Harold Bindloss	English
10077	The Atlantic Monthly, Volume 10, Number 60, October 1862	Various	English
10078	Plain Words From America	Douglas W. Johnson	English
10079	The Atlantic Monthly, Volume 2, Number 9, July, 1858	Various	English
10080	Mobilizing Woman-Power	Harriot Stanton Blatch	English
10081	The Boy Allies at Jutland	Robert L. Drake	English
10082	The Hampstead Mystery	John R. Watson	English
10083	The House of the Whispering Pines	Anna Katharine Green	English
10084	Kazan	James Oliver Curwood	English
10085	Moorish Literature	Anonymous	English
10086	The Minute Boys of the Mohawk Valley	James Otis	English
10087	Old Lady Number 31	Louise Forsslund	English
10088	Thaumaturgia	An Oxonian	English
10089	Elves and Heroes	Donald A. MacKenzie	English
10090	Peaceless Europe	Francesco Saverio Nitti	English
10091	Punchinello, Vol. II., Issue 31, October 29, 1870	Various	English
10092	Punchinello Vol. II., No. 30,  October 22, 1870	Various	English
10093	Gutta-Percha Willie	George MacDonald	English
10094	A Soldier of Virginia	Burton Egbert Stevenson	English
10095	The Twilight of the Gods, and Other Tales	Richard Garnett	English
10096	The Trojan women of Euripides	Euripides	English
10097	The Healing of Nations and the Hidden Sources of Their Strife	Edward Carpenter	English
10098	How Jerusalem Was Won	W.T. Massey	English
10099	Towards The Goal	Mrs. Humphry Ward	English
10100	Byron	John Nichol	English
10101	A Little Boy Lost	Hudson, W. H.	English
10102	The Czar's Spy	William Le Queux	English
10103	The Great Events by Famous Historians, Vol. 8	Editor-in-Chief: Rossiter Johnson	English
10104	Punchinello, Vol. 2., No. 32,  November 5, 1870	Various	English
10105	Punchinello, Vol. II., No. 33, November 12, 1870	Various	English
10106	Punchinello, Vol. II., No. 34, November 19, 1870	Various	English
10107	With British Guns in Italy	Hugh Dalton	English
10108	A Treatise Of Daunses	Anonymous	English
10109	The Unspeakable Gentleman	John P. Marquand	English
10110	The Postmaster's Daughter	Louis Tracy	English
10111	Boys and girls from Thackeray	Kate Dickinson Sweetser	English
10112	American Political Ideas Viewed From The Standpoint Of Universal History	John Fiske	English
10113	De mannen van '80 aan het woord	E. D'Oliveira	Dutch
10114	The Great Events by Famous Historians, Vol. 2	Various	English
10116	All Saints' Day and Other Sermons	Charles Kingsley	English
10117	Den siste atenaren	Viktor Rydberg	Swedish
10118	The Folk-lore of Plants	T. F. Thiselton-Dyer	English
10119	Adonais	Shelley	English
1013	The First Men In The Moon	H. G. Wells	English
1014	The Lure of the Dim Trails	by (AKA B. M. Sinclair) B. M. Bower	English
1015	The Oregon Trail	Francis Parkman, Jr.	English
1019	Poems	(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell	English
10120	England of My Heart--Spring	Edward Hutton	English
10121	Oriental Literature	Anonymous	English
10122	Fairies and Fusiliers	Robert Graves	English
10123	Aunt Jane's Nieces	Edith Van Dyne	English
10124	Aunt Jane's Nieces and Uncle John	Edith Van Dyne	English
10125	The Best Letters of Charles Lamb	Charles Lamb	English
10126	Home-Life of the Lancashire Factory Folk during the Cotton Famine	Edwin Waugh	English
10127	Abducted to Oz	Bob Evans and Chris Dulabone	English
10128	The Great Events by Famous Historians, Vol. 17	Charles Francis Horne	English
10129	Excellent Women	Various	English
10130	Books for Children	Charles and Mary Lamb	English
10131	Required Poems for Reading and Memorizing	Anonymous	English
10132	The Sowers	Henry Seton Merriman	English
10133	The Vigil of Venus and Other Poems by "Q"	Q	English
10134	John Wesley, Jr.	Dan B. Brummitt	English
10135	The Great English Short-Story Writers, Vol. 1	Various	English
10136	The Book of Household Management	Mrs. Isabella Beeton	English
10138	The Atlantic Monthly, Volume 1, Issue 2, December, 1857	Various	English
10139	The Faith of the Millions (2nd series)	George Tyrrell	English
